,title,manufacturer,retailer,code,link,operation,date_ops
0,"Secador de pelo Philips Serie 3000, 2100W, cuidado iónico, difusor y boquilla estrecha",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electrodomesticos/A45051195-secador-de-pelo-philips-serie-3000-2100w-cuidado-ionico-difusor-y-boquilla-estrecha/,RPI Re-added to Retailer,07-11-2022 12:20
1,Radio de coche Ce235Bt Philips,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/taller-mecanico/MP_0013038_4895185631417-radio-de-coche-ce235bt-philips/,RPI Re-added to Retailer,07-11-2022 12:20
2,Intercomunicador Philips Avent audio,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bebes/A45349066-intercomunicador-philips-avent-audio/,RPI Re-added to Retailer,07-11-2022 12:20
3,"Depiladora de luz pulsada Philips Lumea Advanced IPL, 2 cabezales, depilación mujer en cara y cuerpo con sensor de piel",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electrodomesticos/A17349890-depiladora-de-luz-pulsada-philips-lumea-advanced-ipl-2-cabezales-depilacion-mujer-en-cara-y-cuerpo-con-sensor-de-piel/,RPI Re-added to Retailer,07-11-2022 12:20
4,"Depiladora de luz pulsada Philips Lumea Advanced IPL, 1 cabezal, depilación corporal mujer con sensor de tono de piel. Incluye recortador facial",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electrodomesticos/A43492703-depiladora-de-luz-pulsada-philips-lumea-advanced-ipl-1-cabezal-depilacion-corporal-mujer-con-sensor-de-tono-de-piel-incluye-recortador-facial/,RPI Re-added to Retailer,07-11-2022 12:20
5,"Depiladora de luz pulsada Philips Lumea Serie 9000, uso sin cable, 3 cabezales, depilación en casa, mujer y hombre, sensor de piel inteligente",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electrodomesticos/A38970495-depiladora-de-luz-pulsada-philips-lumea-serie-9000-uso-sin-cable-3-cabezales-depilacion-en-casa-mujer-y-hombre-sensor-de-piel-inteligente/,RPI Re-added to Retailer,07-11-2022 12:20
6,Juego de altavoces de coche Csp6911 300W 6X9 Philips,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/taller-mecanico/MP_0013038_6923410721119-juego-de-altavoces-de-coche-csp6911-300w-6x9-philips/,RPI Re-added to Retailer,07-11-2022 12:20
7,Pack 10 CD-R Audio Philips 700 MB,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A19287808-pack-10-cd-r-audio-philips-700-mb/,RPI Re-added to Retailer,07-11-2022 12:20
8,"Memoria USB - Philips - Memoria USB 16 GB, USB 2.0",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/MP_0008431_FM16FD00B00-memoria-usb-philips--memoria-usb-16-gb-usb-20/,RPI Re-added to Retailer,07-11-2022 12:20
9,"Cafetera espresso superautomática Philips EP3226/40 con espumador de leche, 4 tipos de café",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electrodomesticos/A45038066-cafetera-espresso-superautomatica-philips-ep322640-con-espumador-de-leche-4-tipos-de-cafe/,RPI Re-added to Retailer,07-11-2022 12:20
10,"TV OLED 165 cm (65"") Philips 65OLED865/12 UHD 4K con Inteligencia Artificial, Ambilight 3, Android TV (Reacondicionado grado A)",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A45169824-tv-oled-165-cm-65-philips-65oled86512-uhd-4k-con-inteligencia-artificial-ambilight-3-android-tv-reacondicionado-grado-a/,RPI Re-added to Retailer,07-11-2022 12:20
11,"Pack 3 bombillas Philips Hue White Ambiance 10,5W E27 + puente + mando inalámbrico",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A40939807-pack-3-bombillas-philips-hue-white-ambiance-105w-e27--puente--mando-inalambrico/,RPI Re-added to Retailer,07-11-2022 12:20
12,"Cafetera espresso superautomática Philips EP820/00 con espumador de leche, 2 tipos de café",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electrodomesticos/A44675801-cafetera-espresso-superautomatica-philips-ep82000-con-espumador-de-leche-2-tipos-de-cafe/,RPI Re-added to Retailer,07-11-2022 12:20
13,"Bombilla LED con Sensor Crepuscular E27 7,5 W 806 lm 2.700 K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A30905105-bombilla-led-con-sensor-crepuscular-e27-75-w-806-lm-2700-k/,RPI Re-added to Retailer,07-11-2022 12:20
14,"Bombilla LED Regulable E27 7,2 W 1055 lm 2700 K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A22411881-bombilla-led-regulable-e27-72-w-1055-lm-2700-k/,RPI Re-added to Retailer,07-11-2022 12:20
15,"Bombilla LED reflector regulable E27 4,5W 345 lm 2.700K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A22411876-bombilla-led-reflector-regulable-e27-45w-345-lm-2700k/,RPI Re-added to Retailer,07-11-2022 12:20
16,Lámpara suelo Philips Gradient Signe Blanco,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A42562582-lampara-suelo-philips-gradient-signe-blanco/,RPI Re-added to Retailer,07-11-2022 12:20
17,"Monitor PC 60 cm (24"") Philips 241V8L, 75 Hz, Full HD, AdaptiveSync, LowBlue Light (Reacondicionado grado A)",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A44966131-monitor-pc-60-cm-24-philips-241v8l-75-hz-full-hd-adaptivesync-lowblue-light-reacondicionado-grado-a/,RPI Re-added to Retailer,07-11-2022 12:20
18,Plafón cuadrado para exterior Skies Philips,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/hogar/A15951177-plafon-cuadrado-para-exterior-skies-philips/,RPI Re-added to Retailer,07-11-2022 12:20
19,"Bombilla LED esférica E27 4,3 W 470 lm 2.700 K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A37955529-bombilla-led-esferica-e27-43-w-470-lm-2700-k/,RPI Re-added to Retailer,07-11-2022 12:20
20,Barbero Philips series 3000 con 20 ajustes de longitud,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electrodomesticos/A41654268-barbero-philips-series-3000-con-20-ajustes-de-longitud/,RPI Re-added to Retailer,07-11-2022 12:20
21,Auricular de botón Philips Con Micro Azul,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/MP_0000572_6925970709408-auricular-de-boton-philips-con-micro-azul/,RPI Re-added to Retailer,07-11-2022 12:20
22,Lámpara suelo Philips Gradient Signe Negro,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A42562604-lampara-suelo-philips-gradient-signe-negro/,RPI Re-added to Retailer,07-11-2022 12:20
23,Tubo LED inteligente Play gradient grande Negro,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A42562536-tubo-led-inteligente-play-gradient-grande-negro/,RPI Re-added to Retailer,07-11-2022 12:20
24,Tubo LED inteligente Play gradient grande Blanco,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A42562533-tubo-led-inteligente-play-gradient-grande-blanco/,RPI Re-added to Retailer,07-11-2022 12:20
25,Tubo LED inteligente Philips Play gradient compact Blanco,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A42562494-tubo-led-inteligente-philips-play-gradient-compact-blanco/,RPI Re-added to Retailer,07-11-2022 12:20
26,Bombilla LED estándar E27 13W 1.521lm 4.000K - Pack 3 Uds,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A36032902-bombilla-led-estandar-e27-13w-1521lm-4000k-pack-3-uds/,RPI Re-added to Retailer,07-11-2022 12:20
27,Bombilla LED estándar E27 13W 1.521lm 2.700K - Pack 3 Uds,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A36032900-bombilla-led-estandar-e27-13w-1521lm-2700k-pack-3-uds/,RPI Re-added to Retailer,07-11-2022 12:20
28,Plancha para el pelo profesional Philips HPS930/40,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electrodomesticos/MP_0391854_HPS930-plancha-para-el-pelo-profesional-philips-hps93040/,RPI Re-added to Retailer,07-11-2022 12:20
29,Bómbilla de coche H7 55w 1 cool blue intense Phillips Phillips,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/taller-mecanico/MP_0013038_4008321651563-bombilla-de-coche-h7-55w-1-cool-blue-intense-phillips-phillips/,RPI Re-added to Retailer,07-11-2022 12:20
30,Lámpara de coche H7 55w 1 cool blue intense Phillips,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/taller-mecanico/MP_0013038_4008321651563-lampara-de-coche-h7-55w-1-cool-blue-intense-phillips/,RPI Re-added to Retailer,07-11-2022 12:20
31,Plancha de pelo Philips Essential Serie 3000 con tecnología ThermoProtect y placas cerámicas,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electrodomesticos/A41654269-plancha-de-pelo-philips-essential-serie-3000-con-tecnologia-thermoprotect-y-placas-ceramicas/,RPI Re-added to Retailer,07-11-2022 12:20
